source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type
REAL_DB,real_db_67,1,SETUP_2FA_GENERATE,SUCCESS,unknown,unknown,0.0,1.0,2026-07-05 22:03:14.091000,False,LOW,NORMAL
REAL_DB,real_db_257,84,CREATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:02:14.129000,False,LOW,NORMAL
REAL_DB,real_db_200,8,LOGOUT,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 02:01:16.350000,False,LOW,NORMAL
REAL_DB,real_db_106,1,CREATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 22:44:48.774000,False,LOW,NORMAL
REAL_DB,real_db_155,6,UPDATE_LEMARI,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:38:33.503000,False,LOW,NORMAL
REAL_DB,real_db_162,8,AJUKAN_PEMINJAMAN,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:38:43.414000,False,LOW,NORMAL
REAL_DB,real_db_145,6,CREATE_LEMARI,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:26:19.943000,False,LOW,NORMAL
REAL_DB,real_db_368,1,CREATE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:14:38.655000,False,LOW,NORMAL
REAL_DB,real_db_408,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-08-09 14:38:18.859000,False,LOW,NORMAL
REAL_DB,real_db_312,84,DELETE_PEMINJAMAN,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:17:17.872000,False,LOW,NORMAL
REAL_DB,real_db_268,84,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:10:38.651000,False,LOW,NORMAL
REAL_DB,real_db_411,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-08-15 16:45:47.177000,False,LOW,NORMAL
REAL_DB,real_db_133,1,UPDATE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 23:04:52.980000,False,LOW,NORMAL
REAL_DB,real_db_115,1,UPDATE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 22:59:38.653000,False,LOW,NORMAL
