feature,severity,domain_gap_score,train_scaled_mean,train_scaled_std,localhost_scaled_mean,localhost_scaled_std,anomaly_scaled_mean,mean_difference,std_difference,overlap_pct,divergence_z,train_mse,localhost_mse,mse_ratio
ip_address,CRITICAL,100.0,0.0,0.0,-3.0,0.0,1.0,3.0,0.0,0.0,3000000000000.0,7.253296629983197e-09,8.998315811157227,1240582912.0
duration_ms,CRITICAL,95.4,-1.41688760724179e-09,1.0,-8.829919815063477,9.5367431640625e-07,0.072697028517723,8.829919813646589,0.9999990463256836,0.0,12.4874,0.0078268349170684,15.906820297241213,2032.3438720703125
hour,HIGH,75.86,8.174351195933126e-10,1.0,-2.4678776264190674,2.1069836616516118,-3.6702704429626474,2.4678776272365024,1.1069836616516118,93.65,1.4965,0.0256374608725309,0.8749862909317017,34.12921142578125
device,HIGH,66.67,4.03267996773593e-09,1.0,0.4902298748493194,0.125062957406044,0.5752898454666138,0.49022987081663943,0.874937042593956,12.51,0.6879,0.0019114619353786,0.4310582876205444,225.51235961914065
activity,MEDIUM,43.68,-7.847376970460118e-09,0.9999999403953552,0.0040837782435119,0.8951228857040405,-0.238582357764244,0.00408378609088887,0.1048770546913147,89.51,0.0043,0.0114418249577283,0.3781647384166717,33.05108642578125
