Variation,Threshold,Precision,Recall,F1-Score,FPR,FNR,Localhost FPR
-10%,0.0108,0.8028350515463918,0.8306666666666667,0.8165137614678899,0.07373493975903614,0.16933333333333334,0.4194528875379939
-5%,0.0114,0.8145695364238411,0.82,0.8172757475083057,0.06746987951807229,0.18,0.3951367781155015
+0%,0.012,0.8294993234100135,0.8173333333333334,0.8233713901947616,0.060722891566265064,0.18266666666666667,0.3586626139817629
+5%,0.0126,0.8347107438016529,0.808,0.8211382113821138,0.05783132530120482,0.192,0.3373860182370821
+10%,0.013200000000000002,0.8439716312056738,0.7933333333333333,0.8178694158075601,0.05301204819277108,0.20666666666666667,0.3191489361702128
