scenario,count,min,p25,median,p75,p95,p99,max,mean,std,detect_normal_p95,detect_normal_max,overlap_normal_max,joint_frequency_median,joint_frequency_max,unseen_joint_pct,raw_duration_used,raw_object_count_used
offhours_sensitive,200,0.005026656668633223,0.01677374169230461,0.035848841071128845,0.0734584629535675,0.23273399472236633,0.43941226601600647,0.5895949602127075,0.06549034267663956,0.086361363530159,0.89,0.105,0.895,0.0,0.0,100.0,,
offhours_public,200,0.6912552118301392,0.8861485123634338,0.9677609205245972,1.0578584671020508,1.1816622018814087,1.3383393287658691,1.4978934526443481,0.9742186069488525,0.13104680180549622,1.0,1.0,0.0,0.0,0.0,100.0,,
offhours_sensitive_public,200,0.7439935207366943,0.958695650100708,1.0441443920135498,1.1513415575027466,1.2323626279830933,1.3231041431427002,1.68653404712677,1.0382511615753174,0.13989737629890442,1.0,1.0,0.0,0.0,0.0,100.0,,
offhours_sensitive_vm,200,0.00850699469447136,0.025936072692275047,0.04672842472791672,0.0841776579618454,0.16773806512355804,0.21838945150375366,0.2646254301071167,0.06426779180765152,0.05028732866048813,0.98,0.105,0.895,0.0,0.0,100.0,,
sensitive_fast_high_objects,200,0.008724394254386425,0.02096855267882347,0.02730638161301613,0.03592716157436371,0.05963479354977608,0.3076213598251343,0.32649728655815125,0.037894826382398605,0.0481414720416069,0.99,0.035,0.965,0.0028148148148148147,0.003111111111111111,35.0,396.0,10.0
archive_high_objects_short,200,0.005218456033617258,0.008140929043293,0.011830305680632591,0.016543345525860786,0.03188461810350418,0.3765316307544708,0.3923480808734894,0.025388460606336594,0.065554179251194,0.52,0.035,0.965,0.05859259259259259,0.09029629629629629,0.0,396.0,10.0
public_vm,200,0.5976088047027588,0.754500687122345,0.7906025648117065,0.8251262307167053,0.8848572373390198,0.9162968397140503,1.877614974975586,0.7972303628921509,0.09391281753778458,1.0,1.0,0.0,0.0,0.0,100.0,,
public_vm_sensitive,200,0.6428087949752808,0.7554831504821777,0.7829209566116333,0.8165393471717834,0.8719416856765747,0.8903382420539856,3.04654598236084,0.7965621948242188,0.16631726920604706,1.0,1.0,0.0,0.0,0.0,100.0,,
public_offhours_vm_sensitive,200,0.7339076995849609,0.9179244041442871,0.9798438549041748,1.1168886423110962,1.2038925886154175,1.2619045972824097,2.288357973098755,1.0130302906036377,0.1505594551563263,1.0,1.0,0.0,0.0,0.0,100.0,,
