threshold_name,threshold,precision,recall,f1,normal_fpr,localhost_fpr,localhost_false_positive
normal_p95,0.011473985388875008,0.9426321709786277,0.9311111111111111,0.936836221352711,0.05037037037037037,0.43465045592705165,143
normal_p99,0.03299706056714058,0.9842931937172775,0.7311111111111112,0.8390181702263309,0.01037037037037037,0.06990881458966565,23
normal_max,0.1402665078639984,0.9990539262062441,0.5866666666666667,0.7392369618480924,0.0004938271604938272,0.00303951367781155,1
best_offline_f1,0.011002919636666775,0.94,0.94,0.94,0.05333333333333334,0.44680851063829785,147
production_unchanged,3.1496288776397705,0.0,0.0,0.0,0.0,0.0,0
