feature,train_distribution,localhost_distribution,v5_anomaly_distribution
user_id,"{""min"": 1.0, ""p25"": 32.0, ""median"": 50.0, ""p75"": 68.0, ""p95"": 83.0, ""p99"": 86.0, ""max"": 86.0, ""mean"": 49.6624, ""std"": 21.68759152695384}","{""min"": 1.0, ""p25"": 1.0, ""median"": 6.0, ""p75"": 8.0, ""p95"": 84.0, ""p99"": 85.71999999999997, ""max"": 86.0, ""mean"": 20.11550151975684, ""std"": 33.115144559801685}","{""min"": 1.0, ""p25"": 34.0, ""median"": 51.0, ""p75"": 68.0, ""p95"": 83.0, ""p99"": 86.0, ""max"": 86.0, ""mean"": 50.587, ""std"": 21.20566978428175}"
activity,"{""Logout"": 0.24765714285714285, ""Kelola Perkara"": 0.23977142857142858, ""Akses Berkas"": 0.23885714285714285, ""Login"": 0.2193142857142857, ""Verifikasi"": 0.017371428571428572, ""Kelola Berkas"": 0.01634285714285714, ""Laporan & Anomali"": 0.01337142857142857, ""Kelola User"": 0.007314285714285714}","{""Login"": 0.17933130699088146, ""Kelola Sarana"": 0.1398176291793313, ""Akses Berkas"": 0.12158054711246201, ""Kelola User"": 0.11550151975683891, ""Kelola Perkara"": 0.10030395136778116, ""Peminjaman"": 0.08814589665653495, ""Logout"": 0.0790273556231003, ""Keamanan & 2FA"": 0.07598784194528875, ""Kelola Berkas"": 0.0668693009118541, ""Laporan & Anomali"": 0.02127659574468085, ""Verifikasi"": 0.0121580547112462}","{""Kelola User"": 0.4, ""Keamanan & 2FA"": 0.3, ""Logout"": 0.074, ""Login"": 0.073, ""Kelola Perkara"": 0.07, ""Akses Berkas"": 0.068, ""Kelola Berkas"": 0.006, ""Verifikasi"": 0.005, ""Laporan & Anomali"": 0.004}"
status,"{""Berhasil"": 0.9726857142857143, ""Gagal"": 0.027314285714285715}","{""Berhasil"": 1.0}","{""Berhasil"": 0.963, ""Gagal"": 0.037}"
device,"{""PC Windows"": 0.7146285714285714, ""iOS"": 0.1824, ""Android"": 0.10297142857142857}","{""Unknown Device"": 0.9878419452887538, ""iOS"": 0.00911854103343465, ""PC Windows"": 0.00303951367781155}","{""Virtual Machine"": 0.6, ""PC Windows"": 0.28, ""iOS"": 0.066, ""Android"": 0.054}"
ip_address,"{""Private Network 192.168.x.x"": 1.0}","{""Localhost / Loopback"": 1.0}","{""Public IP Address"": 1.0}"
duration_ms,"{""min"": 5.303304908059076, ""p25"": 6.81783057145415, ""median"": 7.3188710036678755, ""p75"": 8.147794781493403, ""p95"": 8.653566787372409, ""p99"": 9.048310292212571, ""max"": 9.387565631345389, ""mean"": 7.40714540107773, ""std"": 0.8388688461235833}","{""min"": 0.0, ""p25"": 0.0, ""median"": 0.0, ""p75"": 0.0, ""p95"": 0.0, ""p99"": 0.0, ""max"": 0.0, ""mean"": 0.0, ""std"": 0.0}","{""min"": 5.308267697401205, ""p25"": 6.85567126174246, ""median"": 7.351799663337138, ""p75"": 8.192916281322667, ""p95"": 8.657511489253919, ""p99"": 9.048334163689391, ""max"": 9.328123407632566, ""mean"": 7.427862902365287, ""std"": 0.8424386167556774}"
object_count,"{""min"": 0.6931471805599453, ""p25"": 0.6931471805599453, ""median"": 0.6931471805599453, ""p75"": 1.9459101490553132, ""p95"": 2.3978952727983707, ""p99"": 2.3978952727983707, ""max"": 2.3978952727983707, ""mean"": 1.2570992364953697, ""std"": 0.6518692188686469}","{""min"": 0.6931471805599453, ""p25"": 0.6931471805599453, ""median"": 0.6931471805599453, ""p75"": 0.6931471805599453, ""p95"": 0.6931471805599453, ""p99"": 0.6931471805599453, ""max"": 0.6931471805599453, ""mean"": 0.6931471805599453, ""std"": 0.0}","{""min"": 0.6931471805599453, ""p25"": 0.6931471805599453, ""median"": 0.6931471805599453, ""p75"": 1.9459101490553132, ""p95"": 2.3978952727983707, ""p99"": 2.3978952727983707, ""max"": 2.3978952727983707, ""mean"": 1.2662173310873917, ""std"": 0.6540331066146011}"
hour,"{""min"": 0.0, ""p25"": 16.0, ""median"": 18.0, ""p75"": 21.0, ""p95"": 23.0, ""p99"": 23.0, ""max"": 23.0, ""mean"": 18.428, ""std"": 3.0973193940198396}","{""min"": 0.0, ""p25"": 5.0, ""median"": 7.0, ""p75"": 15.0, ""p95"": 21.0, ""p99"": 23.0, ""max"": 23.0, ""mean"": 10.78419452887538, ""std"": 6.526000793540811}","{""min"": 2.0, ""p25"": 2.0, ""median"": 2.0, ""p75"": 15.0, ""p95"": 22.0, ""p99"": 23.0, ""max"": 23.0, ""mean"": 6.902, ""std"": 7.643061951861961}"
day_of_week,"{""min"": 0.0, ""p25"": 1.0, ""median"": 3.0, ""p75"": 5.0, ""p95"": 6.0, ""p99"": 6.0, ""max"": 6.0, ""mean"": 3.008342857142857, ""std"": 1.9704210129216713}","{""min"": 0.0, ""p25"": 1.0, ""median"": 3.0, ""p75"": 5.0, ""p95"": 6.0, ""p99"": 6.0, ""max"": 6.0, ""mean"": 2.930091185410334, ""std"": 2.0056092293223453}","{""min"": 0.0, ""p25"": 1.0, ""median"": 3.0, ""p75"": 5.0, ""p95"": 6.0, ""p99"": 6.0, ""max"": 6.0, ""mean"": 3.056, ""std"": 2.0131726205171776}"
