feature,kind,train_mean,localhost_mean,anomaly_mean,train_std,localhost_std,wasserstein_train_vs_localhost,wasserstein_train_vs_anomaly,psi_train_vs_localhost,localhost_in_train_p05_p95,scaled_train_mean,scaled_localhost_mean,scaled_abs_z_shift,train_top_category,train_top_pct,localhost_top_category,localhost_top_pct,anomaly_top_category,localhost_unseen_category_pct,anomaly_unseen_category_pct,localhost_rare_le_1pct_pct
user_id,numeric,49.6624,20.11550151975684,50.587,21.68759152695384,33.115144559801685,31.775757830282647,1.0122468461701746,10.635161906012623,0.0,-8.719308053350971e-10,-1.3623872995376587,1.3623872995376587,,,,,,,,
activity,categorical,,,,,,,,,,-7.847376970460118e-09,0.004083778243511915,0.0040837861597537994,Logout,0.24765714285714285,Login,0.17933130699088146,Kelola User,0.303951367781155,0.3,0.4194528875379939
status,categorical,,,,,,,,,,-4.141671183788276e-08,-0.16757477819919586,0.16757473349571228,Berhasil,0.9726857142857143,Berhasil,1.0,Berhasil,0.0,0.0,0.0
device,categorical,,,,,,,,,,4.03267996773593e-09,0.49022987484931946,0.49022987484931946,PC Windows,0.7146285714285714,Unknown Device,0.9878419452887538,Virtual Machine,0.9878419452887538,0.6,0.9878419452887538
ip_address,categorical,,,,,,,,,,0.0,-3.0,3.0,Private Network 192.168.x.x,1.0,Localhost / Loopback,1.0,Public IP Address,1.0,1.0,1.0
duration_ms,numeric,7.40714540107773,0.0,7.427862902365287,0.8388688461235833,0.0,7.40714540107773,0.023914773478197936,11.512810988783816,0.0,-1.4168876072417902e-09,-8.829919815063477,8.829919815063477,,,,,,,,
object_count,numeric,1.2570992364953697,0.6931471805599453,1.2662173310873917,0.6518692188686469,0.0,0.5639520559354243,0.009384005551058623,5.209882089692446,1.0,1.0136195882637367e-08,-0.8651304841041565,0.8651304841041565,,,,,,,,
hour,numeric,18.428,10.78419452887538,6.902,3.0973193940198396,6.526000793540811,7.645906268471498,11.5474272390314,3.776850174062524,0.44376899696048633,8.174351195933127e-10,-2.4678776264190674,2.4678776264190674,,,,,,,,
day_of_week,numeric,3.008342857142857,2.930091185410334,3.056,1.9704210129216713,2.0056092293223453,0.4661094198520647,0.09637812647976096,2.6117208689471765,1.0,1.7874581814680823e-08,-0.03971315547823906,0.03971317410469055,,,,,,,,
