feature,train_mean_error,localhost_mean_error,Test Anomaly Mean MSE,Difference (Anom - Norm),Separation Ratio (Anom / Norm),Assessment,localhost_relative_contribution_pct,localhost_to_train_ratio
user_id,0.007015018723905,0.014627662487328,0.0288565158843994,0.0218414971604943,4.113533693939409,MODERATE SEPARATION POWER,11.840656838105836,2.0851922230059743
activity,0.0069767292588949,0.0297951214015483,0.0385496988892555,0.0315729696303606,5.525468662856154,HIGH SEPARATION POWER,24.118262796332843,4.270643204845788
status,0.001193571020849,0.0014485892606899,0.0412686131894588,0.0400750421686098,34.57574997095886,HIGH SEPARATION POWER,1.1725898345038792,1.213659878956765
device,0.0041416240856051,0.0136810624971985,0.0626176744699478,0.0584760503843426,15.119111048147811,HIGH SEPARATION POWER,11.074412357431797,3.303308608994548
ip_address,0.0004462273209355,0.0062426826916635,1.0004817247390747,1.0000354974181391,2242.089799973311,HIGH SEPARATION POWER,5.053265589440921,13.98991589886503
duration_ms,0.0057996469549834,0.0087745795026421,0.428959459066391,0.4231598121114075,73.96302954230657,HIGH SEPARATION POWER,7.102760600298828,1.512950627986495
object_count,0.0056738895364105,0.0008504887809976,0.2905382215976715,0.2848643320612609,51.20618223763879,HIGH SEPARATION POWER,0.6884453212654796,0.14989519544570634
hour,0.0114389574155211,0.0399283766746521,0.0955965667963028,0.0841576093807816,8.35710487623557,HIGH SEPARATION POWER,32.320830940470124,3.4905608286009313
day_of_week,0.0055633620359003,0.0081890299916267,0.022765165194869,0.0172018031589686,4.091979822266737,MODERATE SEPARATION POWER,6.628775722150296,1.4719570538072122
